Tanggal Lahir,Pergawean,Status Kawin,Penghasilan per Tahun,Tanggungan Ortu,Tanggungan Anak,Mulai Berlangganan,Transaksi Terakhir,Sembako,Elektronik,Hobi,Pakaian,Buku,Kesehatan,Jml Transaksi Diskon,Jml Transaksi App,Jml Transaksi Web,Jml Transaksi Outlet,Jml Kunjungan App,Komplain,Pulau,Urutan Terima Penawaran
7/23/1970,Karyawan,Cerai,"Rp84.835.000,- ",0,0,-2674,0,189558,104877,379560,111215,189861,218702,1,4,4,6,1,Tidak pernah,Jawa,5
8/18/1961,Karyawan,Lajang,"Rp57.091.000,- ",0,0,-2675,0,464558,5877,64560,7215,861,37702,1,7,3,7,5,Tidak pernah,Sumatera,"[1, 5]"
4/9/1958,Karyawan,Menikah,"Rp67.267.000,- ",0,1,-2708,0,134558,11877,59560,15215,2861,30702,1,3,2,5,2,Tidak pernah,NTT,
12/18/1967,Karyawan,Berumahtangga,"Rp32.474.000,- ",1,1,-2710,0,10558,877,1560,215,861,702,1,1,0,2,7,Tidak pernah,Kalimantan,
4/30/1989,Karyawan,Lajang,"Rp21.474.000,- ",1,0,-2743,0,6558,16877,24560,11215,861,34702,2,3,1,2,7,Tidak pernah,Jawa,"[2, 5]"
10/2/1958,Kepala Divisi,Lajang,"Rp71.691.000,- ",0,0,-2765,0,336558,130877,411560,240215,32861,43702,1,4,7,5,2,Tidak pernah,Jawa,5
11/19/1954,C-level,Menikah,"Rp63.564.000,- ",0,0,-2812,0,769558,80877,252560,15215,34861,65702,1,10,10,7,6,Tidak pernah,NTB,"[2, 5]"
10/1/1967,Karyawan,Berumahtangga,"Rp44.931.000,- ",0,1,-2823,0,78558,877,11560,215,861,7702,1,2,1,3,5,Tidak pernah,Jawa,
10/4/1954,Kepala Divisi,Menikah,"Rp65.324.000,- ",0,1,-2830,0,384558,877,102560,21215,32861,5702,3,6,2,9,4,Tidak pernah,NTT,
4/8/1954,Kepala Divisi,Menikah,"Rp65.324.000,- ",0,1,-2830,0,384558,877,102560,21215,32861,5702,3,6,2,9,4,Tidak pernah,Sulawesi,
9/9/1947,C-level,Menikah,"Rp81.044.000,- ",0,0,-2845,0,450558,26877,535560,73215,98861,26702,1,5,6,10,1,Tidak pernah,NTT,
3/3/1979,Manager,Berumahtangga,"Rp62.499.000,- ",1,0,-2863,0,140558,4877,61560,215,13861,4702,2,3,1,6,4,Tidak pernah,Jawa,
6/1/1959,Kepala Divisi,Duda,"Rp67.786.000,- ",0,0,-2865,0,431558,82877,441560,80215,20861,102702,1,3,6,6,1,Tidak pernah,Sulawesi,5
4/1/1981,Karyawan,Menikah,"Rp26.872.000,- ",0,0,-2917,0,3558,10877,8560,3215,16861,32702,1,1,1,2,6,Tidak pernah,Sumatera,
